Time,A_x,A_y,A_z,B_x,B_y,B_z,C_x,C_y,C_z,Magnet_21_x,Magnet_21_y,Magnet_21_z,Magnet_22_x,Magnet_22_y,Magnet_22_z,Magnet_23_x,Magnet_23_y,Magnet_23_z,Magnet_24_x,Magnet_24_y,Magnet_24_z,Magnet_28_x,Magnet_28_y,Magnet_28_z,Magnet_29_x,Magnet_29_y,Magnet_29_z,Magnet_30_x,Magnet_30_y,Magnet_30_z,Magnet_31_x,Magnet_31_y,Magnet_31_z,Magnet_32_x,Magnet_32_y,Magnet_32_z,out_x,out_y,out_z,
0,0.141,-0.99,0,0.141,-0.99,0,0.141,0.99,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,
0.0101,0.115818,-0.992477,0.0396987,0.153013,-0.98807,-0.01744,0.114574,0.992562,-0.0411402,0.98749,0.154311,-0.0324188,0.987709,0.154342,-0.0246754,0.983842,0.167439,-0.0633942,0.985954,0.161814,-0.0413662,0.987856,0.15351,-0.0239997,0.988532,0.15003,-0.0172073,0.989912,0.141646,-0.00314849,0.993799,0.09849,0.0516065,0.993907,0.0986024,0.0492579,0.993732,0.09927,0.0513982,
0.0202,0.0532209,-0.996467,0.064973,0.182495,-0.982829,-0.0272583,0.0487778,0.996553,-0.0671002,0.978486,0.193713,-0.0709979,0.979769,0.193318,-0.0517784,0.959792,0.244592,-0.137745,0.971206,0.221869,-0.086792,0.98057,0.189692,-0.0499986,0.983688,0.176302,-0.0357232,0.989432,0.144814,-0.00732469,0.997387,0.0023048,0.0722123,0.997846,0.00502899,0.0654125,0.997528,0.00620718,0.0699973,
0.0303,-0.025504,-0.99729,0.0690092,0.218234,-0.975561,-0.0255905,-0.0340287,0.996933,-0.0704738,0.956013,0.266145,-0.12331,0.961457,0.261519,-0.0849057,0.894988,0.379953,-0.233735,0.935122,0.325002,-0.141138,0.964235,0.252438,-0.0807777,0.973337,0.222098,-0.0573349,0.98806,0.153534,-0.0127982,0.994144,-0.0933125,0.0544948,0.995843,-0.0807786,0.0420853,0.995424,-0.0823482,0.0484663,
0.0404,-0.0950113,-0.994118,0.0519852,0.246788,-0.969002,-0.0114808,-0.106799,0.99297,-0.0510307,0.903135,0.381529,-0.196933,0.922569,0.364164,-0.127481,0.741761,0.570884,-0.351969,0.856396,0.473313,-0.206303,0.930766,0.345836,-0.118627,0.953162,0.290704,-0.0835052,0.98518,0.170482,-0.0188859,0.99009,-0.139965,0.0114917,0.993964,-0.109645,-0.00373075,0.993014,-0.117975,0.00224897,
0.0505,-0.13462,-0.990683,0.0205837,0.255332,-0.966756,0.0137092,-0.146812,0.989043,-0.0155163,0.785231,0.544619,-0.294624,0.844329,0.50414,-0.181527,0.440235,0.769836,-0.462109,0.702986,0.655566,-0.275761,0.865998,0.472247,-0.164409,0.91565,0.38509,-0.115288,0.980222,0.196395,-0.0243643,0.99229,-0.119708,-0.0320945,0.996609,-0.0697755,-0.043605,0.995446,-0.0860632,-0.040999,
0.0606,-0.134231,-0.990836,-0.0150594,0.232914,-0.971362,0.04697,-0.142154,0.989531,0.0248957,0.551218,0.732121,-0.400196,0.698737,0.672496,-0.243959,0.002405,0.869361,-0.494171,0.449848,0.831063,-0.327064,0.749345,0.626123,-0.215526,0.849064,0.505639,-0.153034,0.972847,0.229701,-0.0283904,0.997278,-0.0504476,-0.0537814,0.998434,0.0103447,-0.0549843,0.998272,-0.0101954,-0.0578744,
0.0707,-0.0955467,-0.994417,-0.044795,0.171458,-0.981697,0.0829079,-0.0942896,0.993875,0.0576398,0.180046,0.867634,-0.46346,0.460738,0.83514,-0.300435,-0.419512,0.811659,-0.406472,0.122096,0.936811,-0.327839,0.560324,0.785395,-0.263042,0.737596,0.646383,-0.195298,0.962978,0.267731,-0.0315118,0.99864,0.0267479,-0.0447536,0.996133,0.0812396,-0.0334449,0.99707,0.0641363,-0.0416844,
0.0808,-0.0305663,-0.997685,-0.0607536,0.0700063,-0.991239,0.112002,-0.0181468,0.99722,0.0722645,-0.239723,0.870003,-0.430845,0.14153,0.93531,-0.324292,-0.68619,0.685032,-0.244692,-0.19274,0.944121,-0.267371,0.297495,0.909482,-0.290413,0.565905,0.79002,-0.235837,0.95041,0.308897,-0.0360881,0.997394,0.0710123,-0.0127369,0.994707,0.10256,0.0063002,0.995313,0.0966073,-0.00434384,
0.0909,0.041568,-0.997401,-0.0588438,-0.0581995,-0.990808,0.122114,0.061895,0.996008,0.0643144,-0.563448,0.764457,-0.313259,-0.189243,0.936596,-0.294916,-0.793401,0.604782,-0.068948,-0.41568,0.89335,-0.170691,-0.000940277,0.959803,-0.280671,0.332783,0.906356,-0.260334,0.933951,0.354448,-0.0458492,0.997742,0.0627542,0.0239436,0.997046,0.0653673,0.0403194,0.996776,0.0735754,0.0320009,
0.101,0.100037,-0.994173,-0.0401545,-0.18504,-0.977072,0.105311,0.120785,0.991988,0.037011,-0.739327,0.652638,-0.165708,-0.448824,0.866108,-0.22003,-0.779193,0.618633,0.100752,-0.528634,0.846073,-0.0685993,-0.26952,0.934824,-0.23122,0.0686223,0.965651,-0.250619,0.910306,0.408812,-0.0649256,0.998837,0.0106835,0.0470081,0.998739,-0.00577377,0.0498724,0.998774,0.0124437,0.0479203,
0.1111,0.129019,-0.991581,-0.0109691,-0.27897,-0.958211,0.0633093,0.14155,0.989931,-0.000580319,-0.796852,0.603834,-0.0202972,-0.603267,0.787814,-0.12417,-0.644157,0.718543,0.262218,-0.547437,0.836521,0.0233487,-0.460177,0.874,-0.156077,-0.169286,0.965247,-0.199101,0.872828,0.478419,-0.0963711,0.997284,-0.0563677,0.0474015,0.997117,-0.0690916,0.0313696,0.998042,-0.0505541,0.0368373,
0.1212,0.122226,-0.99231,0.0195136,-0.317927,-0.948098,0.00566991,0.119403,0.992154,-0.0370704,-0.761164,0.637315,0.120244,-0.660822,0.750143,-0.0244931,-0.360972,0.845331,0.393846,-0.488165,0.867106,0.0991012,-0.562036,0.824009,-0.0715889,-0.331556,0.936222,-0.116446,0.810413,0.568828,-0.140234,0.993927,-0.106353,0.0282664,0.995912,-0.0902727,-0.00302599,0.996637,-0.0816197,0.00726083,
0.1313,0.0838433,-0.99558,0.0423278,-0.292696,-0.954619,-0.055066,0.0618474,0.996166,-0.0618765,-0.621851,0.739777,0.256966,-0.633839,0.77004,0.0727094,0.0435947,0.895504,0.442912,-0.362569,0.919297,0.153092,-0.582899,0.812442,0.0129392,-0.399593,0.916434,-0.0217807,0.708062,0.679702,-0.19145,0.992772,-0.120002,0.00157162,0.997597,-0.0607171,-0.0333719,0.997457,-0.0673742,-0.0232563,
0.1414,0.0266439,-0.998318,0.0514868,-0.205603,-0.972919,-0.10562,-0.0133926,0.997601,-0.0679126,-0.352551,0.859784,0.369431,-0.522041,0.837302,0.162476,0.434377,0.816481,0.380362,-0.188661,0.96556,0.179165,-0.528688,0.843697,0.0930888,-0.376169,0.924053,0.0679891,0.552664,0.798761,-0.237788,0.995006,-0.098016,-0.0188909,0.999055,8.44481e-05,-0.0434637,0.999066,-0.0197957,-0.0384061,
0.1515,-0.0321593,-0.99844,0.0456404,-0.072741,-0.988427,-0.133119,-0.0834085,0.995053,-0.0539708,0.0224695,0.911458,0.410779,-0.322649,0.917491,0.232611,0.691197,0.679139,0.247014,0.00327431,0.984453,0.175617,-0.399464,0.901976,0.163915,-0.272098,0.952139,0.139263,0.346875,0.901087,-0.260231,0.998033,-0.0576553,-0.0245971,0.997941,0.0570917,-0.0292204,0.998965,0.0326303,-0.0316961,
0.1616,-0.0763736,-0.99669,0.0278556,0.0745364,-0.988791,-0.129369,-0.127891,0.991468,-0.0252172,0.38771,0.851042,0.35413,-0.0567443,0.962681,0.264624,0.807614,0.581692,0.0969196,0.179448,0.972462,0.148712,-0.200075,0.955584,0.216399,-0.107163,0.977707,0.180568,0.122652,0.962867,-0.240506,0.999637,-0.0219251,-0.0156864,0.996816,0.0797344,0.000120841,0.998058,0.061663,-0.00884499,
0.1717,-0.0953625,-0.995435,0.00399684,0.198907,-0.975304,-0.0960064,-0.13561,0.990721,0.00901692,0.635533,0.73642,0.231913,0.21877,0.943602,0.248507,0.820028,0.570223,-0.0489831,0.316902,0.942164,0.109084,0.0440151,0.970158,0.238447,0.0848386,0.978948,0.185643,-0.0662199,0.982639,-0.173308,0.99997,-0.00771943,0.00085239,0.99793,0.057932,0.0279374,0.998391,0.0542377,0.0165376,
0.1818,-0.0862726,-0.996091,-0.0189689,0.272797,-0.961067,-0.0439555,-0.106714,0.993544,0.038509,0.751963,0.652739,0.0921046,0.442785,0.875322,0.194301,0.738396,0.647429,-0.188697,0.407639,0.910813,0.0651837,0.285207,0.932172,0.222962,0.26331,0.951719,0.157794,-0.172002,0.982598,-0.0701138,0.999686,-0.0193516,0.015935,0.999199,0.00567198,0.0396253,0.999367,0.0176492,0.0308863,
