Time,Magnet_145_31_x,Magnet_145_31_y,Magnet_145_31_z,Magnet_149_x,Magnet_149_y,Magnet_149_z,Magnet_154_x,Magnet_154_y,Magnet_154_z,Magnet_157_x,Magnet_157_y,Magnet_157_z,Magnet_158_x,Magnet_158_y,Magnet_158_z,Magnet_159_x,Magnet_159_y,Magnet_159_z,Magnet_161_x,Magnet_161_y,Magnet_161_z,Magnet_165_10_x,Magnet_165_10_y,Magnet_165_10_z,Magnet_165_3_x,Magnet_165_3_y,Magnet_165_3_z,Magnet_165_7_x,Magnet_165_7_y,Magnet_165_7_z,Magnet_169_x,Magnet_169_y,Magnet_169_z,Magnet_181_1_x,Magnet_181_1_y,Magnet_181_1_z,Magnet_187_x,Magnet_187_y,Magnet_187_z,Maj3_Out_x,Maj3_Out_y,Maj3_Out_z,Cout_x,Cout_y,Cout_z,Magnet_145_18_x,Magnet_145_18_y,Magnet_145_18_z,Magnet_148_x,Magnet_148_y,Magnet_148_z,Magnet_155_x,Magnet_155_y,Magnet_155_z,Magnet_165_5_x,Magnet_165_5_y,Magnet_165_5_z,Magnet_166_0_x,Magnet_166_0_y,Magnet_166_0_z,Magnet_166_1_x,Magnet_166_1_y,Magnet_166_1_z,Magnet_167_0_x,Magnet_167_0_y,Magnet_167_0_z,Magnet_167_1_x,Magnet_167_1_y,Magnet_167_1_z,Magnet_171_x,Magnet_171_y,Magnet_171_z,Magnet_181_0_x,Magnet_181_0_y,Magnet_181_0_z,Magnet_188_x,Magnet_188_y,Magnet_188_z,Sum_x,Sum_y,Sum_z,Magnet_145_15_x,Magnet_145_15_y,Magnet_145_15_z,Magnet_145_19_x,Magnet_145_19_y,Magnet_145_19_z,Magnet_145_37_x,Magnet_145_37_y,Magnet_145_37_z,Magnet_145_4_x,Magnet_145_4_y,Magnet_145_4_z,Magnet_145_6_x,Magnet_145_6_y,Magnet_145_6_z,Magnet_165_0_x,Magnet_165_0_y,Magnet_165_0_z,Magnet_165_12_x,Magnet_165_12_y,Magnet_165_12_z,Magnet_165_1_x,Magnet_165_1_y,Magnet_165_1_z,Magnet_165_9_x,Magnet_165_9_y,Magnet_165_9_z,Magnet_170_x,Magnet_170_y,Magnet_170_z,Maj1_Out_x,Maj1_Out_y,Maj1_Out_z,Magnet_145_33_x,Magnet_145_33_y,Magnet_145_33_z,Magnet_145_35_x,Magnet_145_35_y,Magnet_145_35_z,Magnet_145_8_x,Magnet_145_8_y,Magnet_145_8_z,Magnet_145_9_x,Magnet_145_9_y,Magnet_145_9_z,Magnet_147_x,Magnet_147_y,Magnet_147_z,Magnet_165_11_x,Magnet_165_11_y,Magnet_165_11_z,Magnet_165_2_x,Magnet_165_2_y,Magnet_165_2_z,Magnet_165_8_x,Magnet_165_8_y,Magnet_165_8_z,Magnet_168_x,Magnet_168_y,Magnet_168_z,Maj2_Out_x,Maj2_Out_y,Maj2_Out_z,Input_A_1_x,Input_A_1_y,Input_A_1_z,InputA_x,InputA_y,InputA_z,Input_B_1_x,Input_B_1_y,Input_B_1_z,Input_Cin_x,Input_Cin_y,Input_Cin_z,Magnet_189_x,Magnet_189_y,Magnet_189_z,
0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.99,0.141,0,0.141,0.99,0,0.141,0.99,0,0.141,0.99,0,0.141,0.99,0,0.141,0.99,0,
0.1,0.0671012,0.98388,-0.165765,0.783849,0.603114,-0.147766,0.144546,0.944044,-0.296457,0.995555,0.0632804,0.0697621,0.92832,-0.327553,0.17587,0.135071,0.977495,-0.162046,0.719525,0.675651,-0.160561,-0.839209,0.537467,-0.0828064,-0.822982,0.552132,-0.133603,-0.117239,0.971596,-0.205565,0.0709718,0.964966,-0.252593,0.767656,0.625769,-0.138267,0.890728,0.44943,-0.0679486,-0.308044,0.935086,-0.175279,0.223823,0.941099,-0.253447,0.748919,0.64665,-0.144787,0.834178,0.539744,-0.113244,-0.348637,0.915218,-0.202058,-0.264286,0.913649,-0.308868,0.835877,0.541789,-0.0881783,0.615491,0.765631,-0.187031,0.882267,0.464866,-0.074188,0.614797,0.761152,-0.206572,-0.583362,0.80362,-0.117829,0.435833,0.869463,-0.232559,-0.0115643,0.979748,-0.199901,-0.318151,0.899709,-0.298836,0.995215,0.0896932,-0.0387672,0.996733,-0.0670261,0.0450668,0.998705,0.0202765,0.0466547,0.98779,0.151518,-0.0362339,0.998169,0.0583292,0.0159807,0.998026,-0.0348091,0.052279,0.994448,-0.0994567,0.034365,0.997435,-0.0441177,0.0563673,0.99878,0.0215333,0.0444381,0.999152,0.00491196,0.0408873,0.998606,0.0145707,0.0507263,0.99443,0.100839,-0.0306743,0.994831,0.0858239,-0.0542737,0.998909,0.00927392,0.0457786,0.996062,-0.0575229,0.0674681,0.998751,0.0330027,0.0375028,0.99774,-0.0382294,0.0552595,0.9985,0.0272072,0.047513,0.994141,-0.0829751,0.0692769,0.991007,-0.121699,0.0556228,0.998493,-0.00966268,0.0540262,0.0555463,0.997599,-0.0413505,0.0718834,0.997412,0.00132214,0.125815,0.992012,0.00910858,0.11699,0.993125,0.00394805,0.135712,0.990716,0.00802039,
0.2,0.561641,0.819107,-0.116718,-0.0447293,0.965427,0.256806,0.257625,0.966223,0.00643318,-0.372703,-0.920581,0.116713,-0.290345,-0.934332,-0.206698,0.434715,0.897714,-0.0716434,0.307234,0.922699,0.23288,0.565374,0.782282,-0.26151,0.644807,0.734322,-0.212118,0.709444,0.704613,-0.0144969,0.85751,0.511276,0.057215,0.500519,0.846685,0.180571,0.0341387,0.986404,0.160751,0.451083,0.89248,-0.00200876,0.210748,0.96176,0.174936,0.276628,0.958948,0.0624139,0.130417,0.981215,0.142156,0.428911,0.879275,-0.207151,0.543215,0.799814,0.255372,0.153492,0.983862,0.0919509,0.163595,0.979511,0.117452,0.0827929,0.991421,0.101142,0.342108,0.925665,0.161578,0.427276,0.879296,-0.210414,0.28207,0.945408,0.163217,0.132856,0.985403,-0.106443,0.47515,0.858476,0.193007,0.998384,0.0495194,-0.027864,0.996151,-0.0860933,-0.0164934,0.997302,-0.0708099,0.019346,0.998826,0.0414877,-0.0250183,0.999976,0.000845658,0.00684538,0.99577,-0.0910298,0.012467,0.998444,-0.0224036,-0.051058,0.993669,-0.110167,-0.0220091,0.997527,-0.0687773,0.0144678,0.999498,-0.0190068,0.0253617,0.997252,-0.0694309,0.0258276,0.999434,0.0170228,-0.029003,0.999172,0.0115531,-0.0390006,0.997532,-0.0686386,0.0147596,0.993574,-0.109933,0.0269164,0.998394,-0.0462471,0.0327254,0.996315,-0.0852808,-0.00916181,0.999417,-0.0318043,0.0124493,0.994721,-0.102042,0.0108635,0.997792,-0.0583963,-0.0316325,0.997565,-0.0558611,0.0417555,0.0129143,0.996417,0.0835799,-0.0565731,0.997311,-0.0465832,0.119287,0.992822,0.00865112,-0.205667,0.978324,0.0241393,0.128481,0.991696,0.00569374,
0.3,0.706435,0.700543,0.100942,0.976225,0.214901,0.02833,0.378829,0.925253,0.0198684,-0.00642352,-0.999059,-0.0429051,0.888191,-0.450967,0.0880032,0.68041,0.73254,0.0206746,0.81668,0.572313,-0.0741077,0.545601,0.822955,0.15832,0.44998,0.866184,0.217356,0.338502,0.935338,0.102756,0.00555366,0.99712,0.0756388,0.978737,0.204635,0.0140943,0.906989,0.42074,0.0186477,0.123331,0.990778,-0.0561094,0.130162,0.983345,-0.126848,0.620992,0.78374,-0.0109879,0.912555,0.408198,-0.0248635,0.253352,0.943299,0.214476,-0.491249,0.858829,-0.145217,0.985525,0.151927,0.0752307,0.492977,0.868333,-0.0545062,0.993558,0.0539908,0.0996332,0.189152,0.980353,0.0559353,0.429659,0.902754,0.0207081,0.259992,0.960002,-0.103928,0.417281,0.907595,-0.0463406,-0.426954,0.903176,-0.044531,0.999999,-0.000182541,-0.00132247,0.99944,-0.0300319,-0.0147262,0.99836,-0.0545658,0.0173338,0.999697,0.0222027,-0.0105922,0.999759,-0.0217626,-0.0028054,0.999196,-0.0397966,0.0049076,0.996434,0.0843432,-0.00222034,0.999274,0.00296999,-0.0379702,0.999836,-0.0159385,0.00856862,0.999507,-0.0309187,0.00543236,0.997863,-0.0653445,0.000531636,0.999575,0.024469,-0.0158671,0.99829,-0.0576092,-0.0099111,0.998622,-0.050004,-0.01595,0.997256,-0.0726493,-0.0142591,0.996873,-0.077549,0.0151492,0.999854,0.00755445,-0.0153478,0.999786,0.0121969,-0.0167192,0.996226,-0.0788362,-0.0363205,0.999634,-0.0261334,-0.00698121,0.997326,-0.0729244,0.00472045,-0.0651546,0.996723,0.0479312,0.028439,0.999576,-0.00624244,0.117994,0.993004,0.00447671,0.0815545,0.994594,-0.0642822,0.127509,0.991837,-0.000116644,
0.4,0.288757,0.957377,0.0069408,0.72792,-0.612702,0.30778,0.345774,0.938106,-0.019951,0.158906,-0.964355,0.211583,0.110366,-0.985624,-0.127922,0.32046,0.94629,0.0428913,0.317751,0.945616,0.0696003,0.0165516,0.975421,0.219728,-0.0896044,0.974112,0.207548,0.337575,0.939648,0.0557154,0.633085,0.763697,-0.126375,0.944601,0.324381,-0.0500502,0.788173,0.610646,-0.0767771,0.56622,0.823292,0.0398086,0.420778,0.904481,0.0697199,0.199764,0.979684,0.0177234,0.354225,0.93514,0.00622306,-0.215612,0.973331,0.0783503,0.553464,0.829466,-0.0752628,0.131785,-0.959404,0.249351,0.258457,0.964248,-0.0585289,-0.132256,-0.990286,0.0429255,0.023563,0.989861,-0.140074,0.225061,0.967866,0.112179,0.501853,0.864627,0.0237669,0.310833,0.950453,0.00466566,0.321274,0.945134,-0.0592036,0.997361,0.0710263,0.0150277,0.999128,-0.0417461,-0.000145267,0.996278,-0.0860984,0.00420138,0.99741,0.0705401,0.0140503,0.999542,-0.029569,-0.00643147,0.99983,-0.0130753,-0.0129622,0.999717,0.00570266,0.0230743,0.998567,0.05347,-0.00209819,0.998359,0.0567259,0.00778529,0.999416,-0.0341501,0.000856394,0.999423,-0.0337059,-0.00430163,0.999943,-0.0100722,-0.00360999,0.999954,-0.00615281,0.0073455,0.999796,-0.00944735,-0.0178292,0.998442,-0.0533155,-0.016472,0.996718,-0.080921,0.00210637,0.999915,0.0126035,0.0034442,0.999314,0.0369931,-0.00158785,0.999517,-0.0229371,-0.0209892,0.998639,-0.0467743,0.0230865,0.995617,-0.093441,-0.0038286,-0.0713974,0.997175,-0.0233241,0.0585949,0.998026,-0.0226078,0.117235,0.993099,-0.00323845,-0.0530509,0.998277,-0.0250789,0.133612,0.991029,-0.00315764,
0.5,0.545755,0.834831,-0.072171,0.681024,-0.726482,-0.09182,0.247423,0.95532,0.161694,0.538,-0.841751,-0.0448486,0.677845,-0.733994,0.0421718,0.5804,0.813132,-0.0441807,0.550004,0.835138,-0.00627506,-0.130689,0.988964,0.0697892,-0.16402,0.985918,0.0325943,0.304235,0.949747,-0.0736342,0.626,0.775822,0.0788924,0.479848,0.877223,-0.0149971,0.487991,0.868077,0.0911415,0.160513,0.980632,0.112231,-0.060647,0.997796,-0.0269336,0.604507,0.795358,-0.0444517,0.275245,0.956274,0.0988911,-0.115667,0.99286,0.0291656,0.0469562,0.990467,0.129498,0.757695,-0.651011,-0.0456437,0.498614,0.861499,0.0959317,0.57384,-0.817477,0.0493969,0.466515,0.884393,-0.0145702,-0.00175628,0.995613,0.0935554,0.112238,0.993508,-0.0185391,0.244793,0.964524,0.0988428,-0.0257308,0.996748,0.0763626,0.996991,0.0775029,0.00131173,0.999681,-0.0244938,0.00621995,0.995988,-0.0891693,0.00747342,0.992937,0.11862,0.00220345,0.999223,-0.0387677,-0.00712562,0.999185,-0.0400779,-0.00481604,0.999739,-0.0226045,-0.00345253,0.999621,0.0249461,0.0116168,0.999668,0.0257019,0.00184661,0.998775,-0.049395,0.00298892,0.999887,-0.0150215,-0.000714323,0.999761,0.0198787,0.009074,0.999493,0.0275569,0.0159378,0.999952,0.00849884,-0.00481786,0.999541,-0.0299087,0.00483734,0.997763,-0.0667511,-0.0035894,0.999842,-0.0177728,0.000655286,0.999739,0.0222112,0.00531537,0.9996,-0.0265638,0.00968661,0.998366,-0.0563998,-0.00916995,0.998352,-0.0572259,-0.00423485,-0.0993871,0.99504,-0.00408269,0.0901659,0.993492,0.069595,0.128111,0.991751,-0.00430712,0.113168,0.992807,-0.0390689,0.138761,0.990322,-0.00263949,
0.6,0.715461,0.698152,0.0264524,0.382362,-0.92369,-0.024421,0.0717844,0.995821,-0.0564642,0.165736,-0.986149,-0.00645306,0.34735,-0.934651,-0.0759983,0.661682,0.74933,0.0260918,0.641545,0.766572,-0.028064,-0.0196543,0.99923,-0.0339681,-0.00260462,0.99732,-0.0731161,0.719997,0.693012,-0.0365945,0.383298,0.923442,-0.0183849,0.887809,0.458178,0.0432189,0.991632,-0.000857179,0.129094,0.271706,0.960501,-0.0601133,0.366658,0.930297,-0.0104781,0.386973,0.921192,0.040708,0.36143,0.921867,-0.139749,-0.130977,0.989626,-0.0590387,-0.0219456,0.999329,-0.0293096,0.103079,-0.994663,0.0044445,0.0395584,0.999202,-0.0055678,0.251394,-0.966534,-0.0511223,0.0983985,0.993823,0.051309,-0.0575282,0.998344,-0.000369492,0.448078,0.893936,0.0102187,0.0327567,0.998663,0.0399884,-0.0578768,0.997109,-0.0492256,0.996729,0.0807623,-0.00284485,0.999054,-0.0434682,-0.00113278,0.997781,-0.0632754,0.0207308,0.995569,0.0939442,-0.0040538,0.998637,-0.0518391,-0.00607625,0.999951,0.00718229,-0.00686564,0.999858,0.0141601,-0.00915882,0.999982,-0.000501278,0.00592728,0.999417,0.0338982,0.00404012,0.998521,-0.053931,0.00681425,0.999919,-0.0126191,0.0013607,0.999511,0.0306921,0.00590349,0.999354,0.0357125,0.00397607,0.999996,-1.57843e-05,0.00286303,0.999155,-0.0406767,0.00588884,0.998632,-0.0521217,-0.00412495,0.999977,0.00662265,-0.00157985,0.9999,0.0141478,0.000131664,0.99933,-0.034538,0.0120849,0.998819,-0.0484687,-0.00325564,0.999692,-0.0228288,-0.00968421,-0.0384625,0.995434,-0.0873654,-0.101542,0.993387,0.0535888,0.13382,0.991006,0.000240491,0.0320838,0.999475,0.00449015,0.140917,0.990021,-0.00103222,
0.7,0.284746,0.958602,0.00110614,0.577273,-0.812962,-0.0764851,0.44265,0.896169,-0.0307039,0.498367,-0.866787,-0.0176273,0.701065,-0.711037,0.0541653,0.591207,0.806265,0.0202681,0.719276,0.691908,0.0624929,0.148651,0.986086,-0.0744121,0.203955,0.975127,-0.0867719,0.58648,0.802675,0.10842,0.715038,0.698965,-0.0129872,0.915726,0.401231,-0.0214413,0.143456,-0.985251,-0.0932771,0.478284,0.878026,-0.0177753,0.115703,0.992909,0.0272989,0.506468,0.862113,-0.0158724,0.630046,0.776499,0.00956323,0.133125,0.990056,-0.0454556,0.201097,0.979497,-0.0120772,0.594167,-0.803243,0.042017,0.413321,0.909346,-0.0474874,0.371676,-0.926247,0.0626408,0.141322,0.987353,-0.0718461,0.0606874,0.997145,-0.0449335,0.250817,0.967772,0.0225634,-0.101006,0.99187,-0.0774119,0.163564,0.986382,-0.0172238,0.997758,0.0668544,-0.00309957,0.999145,-0.0412331,0.00311722,0.999699,-0.0234795,0.00713813,0.994544,0.104318,0.000675839,0.998087,-0.0617515,-0.00306037,0.999984,-0.00256755,-0.00498875,0.999713,0.023966,0.00072396,0.999976,-0.00693512,-0.000167005,0.999608,0.0279384,-0.00176752,0.998797,-0.0488281,0.00444334,0.999903,-0.0139276,0.000967813,0.999623,0.0265985,0.00674302,0.999293,0.0372733,-0.00490827,0.999937,-0.010862,0.00280887,0.998254,-0.0590628,0.000872694,0.998762,-0.0497452,-0.000431742,0.999996,0.000210552,0.00282473,0.999754,0.0218503,-0.00381511,0.998775,-0.0485996,-0.00925976,0.999368,-0.0353247,0.00405811,0.999504,-0.0314539,0.00124191,0.199943,0.979538,-0.0229683,-0.0636896,0.997711,0.0227393,0.119623,0.992819,0.00107813,0.0913194,0.995808,-0.00515165,0.140025,0.990148,-0.000162091,
0.8,0.731313,0.680701,-0.0427489,0.325883,-0.944534,-0.040701,0.363074,0.931703,-0.0103053,0.294262,-0.954649,-0.0453296,0.559143,-0.827288,-0.0543472,0.771147,0.636562,-0.0109714,0.847976,0.529863,-0.0134774,0.293845,0.954286,-0.0547095,0.326684,0.944297,-0.0397631,0.520165,0.851872,-0.0611796,0.581287,0.812332,0.0471524,0.809285,0.587404,0.00377056,0.725073,-0.688417,0.0187478,0.46766,0.883877,0.00741203,0.230742,0.972506,-0.0314551,0.415809,0.909299,0.0167083,0.33201,0.943024,0.02181,0.0724735,0.997365,0.00312883,0.1246,0.991882,0.0254095,0.382209,-0.920521,-0.0809843,0.349365,0.936583,0.0275117,0.443052,-0.89255,-0.0840196,0.369724,0.928159,0.0427152,0.130213,0.990841,-0.0357714,0.326662,0.94466,-0.0301678,0.271741,0.959982,-0.0677556,0.0603509,0.997519,0.0362446,0.996775,0.0802133,0.00212351,0.998741,-0.0501671,-0.000347425,0.998959,-0.0455979,0.00164113,0.99307,0.117513,0.00169241,0.997992,-0.0633409,0.000328969,0.999835,0.0176999,0.00397582,0.999843,0.0171611,0.00431258,0.999982,-0.00601531,-0.000783513,0.999453,0.0325231,0.00602678,0.998957,-0.0455699,0.00294457,0.999926,-0.0121408,0.000156162,0.999018,0.0442149,0.00299637,0.99992,0.00864134,-0.00926535,0.999936,-0.0112494,0.000970472,0.999078,-0.0428823,-0.0018864,0.998774,-0.0494893,0.0013006,0.999934,-0.0114768,-0.000271971,0.999553,0.0298102,-0.00223753,0.999341,-0.0362686,-0.00132281,0.998737,-0.0501458,-0.00309533,0.999858,-0.0156058,0.00637677,0.0907779,0.994899,0.0439941,-0.107106,0.994241,-0.00349722,0.126893,0.991916,-0.000407486,0.0308854,0.999313,0.0204859,0.139638,0.990203,-0.000167189,
0.9,0.578772,0.813832,0.0519743,0.577563,-0.815461,0.0380038,0.544326,0.838646,-0.019557,0.498928,-0.866212,0.0273384,0.7369,-0.675515,0.0256631,0.739623,0.672698,0.0208773,0.824752,0.565363,0.0122341,0.364358,0.931222,-0.00826914,0.352149,0.93592,0.00676927,0.778378,0.627665,0.0128276,0.713773,0.700008,-0.0227292,0.926043,0.375627,0.0367192,0.463041,-0.883871,-0.0660681,0.521962,0.852907,0.0102805,0.221402,0.974677,0.0314077,0.519366,0.854397,-0.0162922,0.531777,0.846138,-0.0355577,0.102277,0.994738,0.00595615,0.0987543,0.99511,-0.00177993,0.342679,-0.937977,0.052634,0.325596,0.945205,-0.0239722,0.108666,-0.99336,0.0377788,0.0687664,0.997206,0.029181,0.170694,0.985255,-0.0116829,0.360708,0.932495,0.0184858,0.135336,0.990624,-0.0186456,-0.00264765,0.999996,0.000938635,0.996079,0.0884559,-0.00118312,0.999085,-0.0427185,0.00194797,0.999373,-0.0352766,0.00309635,0.990703,0.136018,-0.00239812,0.99814,-0.0609298,0.00180767,0.999754,0.0216456,-0.00489419,0.99989,0.0147134,0.00206535,0.999991,-0.00414467,0.000471336,0.998839,0.0479116,-0.00501669,0.999077,-0.0429509,-0.000498309,0.999922,-0.0124384,-0.000761168,0.999303,0.0372723,-0.00213451,0.999992,-0.000398902,-0.00396991,0.999945,-0.0105037,3.09587e-05,0.999247,-0.0386053,-0.00389983,0.998594,-0.0530013,0.000502337,0.999993,-0.000967489,-0.00350537,0.999549,0.0300201,0.000344849,0.999796,-0.020106,0.00174474,0.999278,-0.0379989,-0.000198637,0.999522,-0.030898,-0.000670952,0.0510745,0.997722,0.0440795,-0.019957,0.999265,-0.0327169,0.122734,0.992439,0.000422066,0.0498243,0.998757,0.00149842,0.139621,0.990205,2.33368e-06,
